alpha,beta,discount,seed,converged,convergence_iter,best_action_idx,w1,w2,w3,avg_train_w1,avg_train_w2,avg_train_w3,distance_to_grid_benchmark,distance_to_continuous_benchmark,distance_avg_training_to_grid,distance_avg_training_to_continuous,learned_mean,learned_variance,learned_utility,grid_benchmark_utility,utility_gap_to_grid,utility_gap_to_continuous,utility_gap_avg_training_to_grid,utility_gap_avg_training_to_continuous,grid_w1,grid_w2,grid_w3
0.01,0.0005,0.99,1024,True,5554,257,1.0,-0.3,0.3,0.928,-0.23135000000000683,0.3033499999999998,0.28284271247461906,0.29516807963003405,0.3406288963079856,0.3473791269362437,0.00068665723254471,0.00012082779109267795,0.000505415545905693,0.000596518511394103,9.110296548841006e-05,9.116756446453616e-05,0.00012193529042368894,0.00012199988939981505,1.0,-0.5,0.5
0.01,0.001,0.9,42,True,2760,26,-0.4,0.9,0.5,1.1230500000000296,0.10340000000000021,-0.22644999999999474,1.979898987322333,1.968365731564342,0.9523457696656188,0.9671936460787371,-0.00026642406024972445,6.599472726701543e-05,-0.0003654161511502476,0.000596518511394103,0.0009619346625443507,0.0009619992615204768,0.0003167190013912084,0.0003167836003673345,1.0,-0.5,0.5
0.01,0.001,0.9,123,True,2820,230,0.8,-0.5,0.7,0.6485499999999811,-0.2882000000000001,0.6396500000000221,0.28284271247461895,0.2595698209906371,0.4334494953279095,0.4150380673588561,0.0007621053115000061,0.0001157053910491449,0.0005885472249262888,0.000596518511394103,7.971286467814268e-06,8.035885443940377e-06,0.0001117137315328234,0.00011177833050894951,1.0,-0.5,0.5
0.01,0.001,0.9,1024,True,2887,277,1.2,-0.4,0.2,1.06505000000002,-0.28064999999999196,0.2155999999999933,0.37416573867739406,0.39622979048043244,0.36500586981582905,0.38114604023525006,0.0007821189049911262,0.0001629096710005637,0.0005377543984902807,0.000596518511394103,5.8764112903822354e-05,5.882871187994846e-05,0.00010413205130637099,0.0001041966502824971,1.0,-0.5,0.5
0.01,0.001,0.95,42,True,2760,282,1.2,0.1,-0.3,1.047500000000024,0.14755000000000054,-0.19505000000000455,1.019803902718557,1.0360764770277866,0.9511423421339255,0.9641850501373662,0.0004972693193216057,0.00015287114356760936,0.00026796260397019163,0.000596518511394103,0.0003285559074239114,0.0003286205064000375,0.00033118589347378493,0.00033125049244991104,1.0,-0.5,0.5
0.01,0.001,0.95,123,True,2820,305,1.5,-0.0,-0.5,0.8585999999999998,0.14105000000000023,0.0003500000000000689,1.224744871391589,1.244954170094808,0.8249782936538393,0.8324192675378174,0.000611976869424278,0.00024129310956752406,0.0002500372050729919,0.000596518511394103,0.00034648130632111115,0.00034654590529723726,0.0003110965564011328,0.0003111611553772589,1.0,-0.5,0.5
0.01,0.001,0.95,1024,True,2887,277,1.2,-0.4,0.2,1.06505000000002,-0.28064999999999196,0.2155999999999933,0.37416573867739406,0.39622979048043244,0.36500586981582905,0.38114604023525006,0.0007821189049911262,0.0001629096710005637,0.0005377543984902807,0.000596518511394103,5.8764112903822354e-05,5.882871187994846e-05,0.00010413205130637099,0.0001041966502824971,1.0,-0.5,0.5
0.01,0.001,0.99,42,True,2760,298,1.4,-0.0,-0.4,1.1936000000000375,0.07450000000000001,-0.26809999999999307,1.104536101718726,1.1239787888932757,0.9785237963381391,0.9948380393437598,0.0005927309917680218,0.00020837365862746895,0.0002801705038268184,0.000596518511394103,0.0003163480075672846,0.00031641260654341073,0.0003122942766166102,0.00031235887559273633,1.0,-0.5,0.5
0.01,0.001,0.99,123,True,2820,275,1.1,0.4,-0.5,0.5032000000000073,0.2478499999999956,0.2489499999999926,1.3490737563232043,1.362624581507151,0.9322638923609505,0.9282075534866793,0.00030711369026363713,0.00013608316640165293,0.00010298894066115773,0.000596518511394103,0.0004935295707329453,0.0004935941697090714,0.000380136864038331,0.0003802014630144571,1.0,-0.5,0.5
0.01,0.001,0.99,1024,True,2887,277,1.2,-0.4,0.2,1.06505000000002,-0.28064999999999196,0.2155999999999933,0.37416573867739406,0.39622979048043244,0.36500586981582905,0.38114604023525006,0.0007821189049911262,0.0001629096710005637,0.0005377543984902807,0.000596518511394103,5.8764112903822354e-05,5.882871187994846e-05,0.00010413205130637099,0.0001041966502824971,1.0,-0.5,0.5
